iter	RMSE
0	59.41990254
1	56.59245761
2	53.91346369
3	51.37756191
4	48.93777387
5	46.63004028
6	44.45751682
7	42.36944003
8	40.38574115
9	38.50708358
10	36.71407976
11	35.0036967
12	33.39006038
13	31.85370869
14	30.40989946
15	29.0203119
16	27.70524474
17	26.44884596
18	25.25747848
19	24.12459815
20	23.04907475
21	22.02152879
22	21.0575886
23	20.13409993
24	19.25199128
25	18.41929019
26	17.62295621
27	16.87567344
28	16.15792631
29	15.47107173
30	14.82234552
31	14.2092328
32	13.63364291
33	13.07802268
34	12.5548906
35	12.05274204
36	11.58286266
37	11.13388581
38	10.71003779
39	10.30910885
40	9.929052603
41	9.572708667
42	9.235652045
43	8.913880457
44	8.611455565
45	8.325093335
46	8.051058694
47	7.792555697
48	7.554352191
49	7.327753481
50	7.114740004
51	6.911043039
52	6.720462185
53	6.543412723
54	6.371327647
55	6.209520753
56	6.06087696
57	5.919844003
58	5.788505316
59	5.665222811
60	5.54873369
61	5.439573726
62	5.337118813
63	5.240660278
64	5.150552501
65	5.06312103
66	4.984558588
67	4.909696916
68	4.838423515
69	4.771631519
70	4.710368653
71	4.652801985
72	4.600147487
73	4.548018311
74	4.498754002
75	4.455237588
76	4.412372134
77	4.374921795
78	4.340835007
79	4.307393497
80	4.274296972
81	4.245552646
82	4.216341852
83	4.189410663
84	4.166894371
85	4.14303454
86	4.121776465
87	4.101126701
88	4.081081978
89	4.06240583
90	4.042884159
91	4.027563376
92	4.012504157
93	3.996781671
94	3.982366558
95	3.970488637
96	3.956540776
97	3.94586685
98	3.933640947
99	3.924548967
100	3.914091623
101	3.905624532
102	3.895501801
103	3.8859108
104	3.876544046
105	3.869413469
106	3.862697657
107	3.856829692
108	3.850889515
109	3.844405831
110	3.839502764
111	3.832509364
112	3.82764758
113	3.822391379
114	3.817536375
115	3.812417506
116	3.807017981
117	3.801821543
118	3.796756678
119	3.792177068
120	3.789009216
121	3.785168793
122	3.781029285
123	3.777400583
124	3.773360515
125	3.768702053
126	3.765878805
127	3.762335971
128	3.758695828
129	3.755405984
130	3.7518003
131	3.749111888
132	3.746574638
133	3.742754014
134	3.73939867
135	3.735227178
136	3.732381238
137	3.729312885
138	3.726139258
139	3.72402863
140	3.72091667
141	3.717321823
142	3.715177459
143	3.712617208
144	3.710481955
145	3.70859432
146	3.706471499
147	3.703329195
148	3.700785109
149	3.699205184
150	3.696553723
151	3.694020172
152	3.692023189
153	3.689156412
154	3.687712623
155	3.684963421
156	3.682616399
157	3.680583094
158	3.678310006
159	3.676792798
160	3.675155536
161	3.673466129
162	3.67159577
163	3.669976573
164	3.668122667
165	3.666698759
166	3.66473305
167	3.663206106
168	3.661137084
169	3.659649871
170	3.65783143
171	3.656257716
172	3.654788109
173	3.652722418
174	3.651280702
175	3.648966565
176	3.647697548
177	3.646429706
178	3.645266533
179	3.643965407
180	3.641870362
181	3.640531939
182	3.639343002
183	3.637627041
184	3.636013442
185	3.634462361
186	3.633039251
187	3.632000222
188	3.631022597
189	3.6296093
190	3.628632171
191	3.627105418
192	3.625588151
193	3.624475547
194	3.623034878
195	3.621866059
196	3.620573704
197	3.619335314
198	3.618561073
199	3.617373245
200	3.616602165
201	3.615208669
202	3.614173692
203	3.613180953
204	3.612011225
205	3.611099253
206	3.610186141
207	3.609218371
208	3.608257318
209	3.607185689
210	3.60597985
211	3.605178928
212	3.604441424
213	3.603512006
214	3.602291343
215	3.601428633
216	3.600489881
217	3.599486652
218	3.598545019
219	3.597912144
220	3.597275552
221	3.596559811
222	3.595946515
223	3.595063205
224	3.593944196
225	3.593044431
226	3.592134996
227	3.591462349
228	3.590646533
229	3.589574208
230	3.588581652
231	3.587489883
232	3.586623395
233	3.586023477
234	3.585438216
235	3.584549605
236	3.583589299
237	3.583020069
238	3.582340982
239	3.581589563
240	3.580821442
241	3.580004957
242	3.579436452
243	3.578813121
244	3.577836164
245	3.577380475
246	3.576632433
247	3.576054877
248	3.575101739
249	3.574499994
250	3.573886512
251	3.573174971
252	3.572443686
253	3.571499418
254	3.570917461
255	3.569847183
256	3.569163357
257	3.568389108
258	3.567667576
259	3.566946648
260	3.566332636
261	3.565792096
262	3.565123813
263	3.564119364
264	3.563550094
265	3.562718885
266	3.562226131
267	3.561748922
268	3.561036658
269	3.560116216
270	3.559575487
271	3.5588325
272	3.558270612
273	3.557512176
274	3.556964775
275	3.556418682
276	3.55561158
277	3.55485223
278	3.554545395
279	3.554046101
280	3.553467904
281	3.552548931
282	3.551879161
283	3.551185686
284	3.550551668
285	3.549894645
286	3.549383175
287	3.548702763
288	3.547968589
289	3.547542035
290	3.546806613
291	3.546329912
292	3.545375192
293	3.544765911
294	3.544227744
295	3.543552268
296	3.543042789
297	3.542486425
