iter	Passed	Remaining
0	70	141422
1	136	136746
2	203	135770
3	267	133671
4	334	133468
5	402	133803
6	473	134889
7	544	135546
8	607	134468
9	678	135063
10	744	134690
11	812	134685
12	879	134410
13	952	135051
14	1017	134640
15	1084	134475
16	1150	134181
17	1213	133622
18	1279	133358
19	1342	132922
20	1410	132902
21	1477	132858
22	1540	132419
23	1606	132287
24	1674	132268
25	1738	132012
26	1805	131969
27	1877	132215
28	1941	131964
29	2005	131675
30	2073	131693
31	2137	131462
32	2203	131316
33	2267	131093
34	2331	130900
35	2395	130703
36	2461	130566
37	2527	130490
38	2595	130503
39	2661	130435
40	2727	130339
41	2791	130123
42	2858	130100
43	2927	130152
44	2993	130032
45	3057	129883
46	3126	129935
47	3194	129911
48	3255	129629
49	3317	129380
50	3384	129357
51	3448	129200
52	3514	129118
53	3573	128765
54	3643	128851
55	3711	128831
56	3773	128644
57	3841	128639
58	3906	128524
59	3973	128470
60	4035	128284
61	4097	128085
62	4163	128024
63	4225	127826
64	4289	127693
65	4353	127581
66	4413	127332
67	4474	127118
68	4536	126951
69	4600	126851
70	4661	126653
71	4727	126592
72	4788	126395
73	4853	126329
74	4919	126254
75	4981	126122
76	5047	126057
77	5104	125791
78	5164	125573
79	5221	125312
80	5296	125477
81	5357	125317
82	5421	125222
83	5487	125167
84	5544	124922
85	5608	124827
86	5669	124655
87	5730	124502
88	5796	124453
89	5857	124300
90	5926	124317
91	5983	124096
92	6044	123952
93	6116	124019
94	6185	124028
95	6250	123968
96	6316	123918
97	6379	123814
98	6446	123787
99	6506	123623
100	6571	123560
101	6636	123493
102	6705	123502
103	6775	123531
104	6852	123667
105	6913	123521
106	6974	123385
107	7031	123172
108	7089	122991
109	7152	122897
110	7213	122755
111	7283	122786
112	7343	122630
113	7407	122555
114	7469	122429
115	7530	122300
116	7597	122276
117	7661	122199
118	7725	122120
119	7793	122091
120	7851	121930
121	7912	121804
122	7976	121729
123	8038	121611
124	8101	121521
125	8168	121494
126	8226	121331
127	8287	121207
128	8354	121171
129	8415	121055
130	8480	120986
131	8537	120824
132	8600	120728
133	8667	120701
134	8732	120637
135	8803	120662
136	8870	120628
137	8933	120540
138	8999	120483
139	9063	120419
140	9127	120337
141	9192	120284
142	9251	120134
143	9311	120019
144	9371	119892
145	9431	119762
146	9490	119636
147	9559	119622
148	9623	119552
149	9679	119380
150	9745	119338
151	9815	119330
152	9879	119264
153	9948	119249
154	10008	119134
155	10074	119091
156	10136	118992
157	10195	118864
158	10260	118803
159	10320	118681
160	10383	118606
161	10444	118503
162	10514	118496
163	10577	118411
164	10643	118366
165	10705	118280
166	10765	118166
167	10835	118153
168	10903	118132
169	10968	118070
170	11027	117949
171	11091	117875
172	11149	117743
173	11216	117704
174	11279	117623
175	11344	117575
176	11403	117453
177	11465	117363
178	11525	117249
179	11591	117198
180	11663	117216
181	11727	117141
182	11788	117050
183	11854	117002
184	11920	116946
185	11988	116915
186	12050	116830
187	12108	116702
188	12162	116545
189	12223	116444
190	12286	116363
191	12355	116347
192	12421	116294
193	12482	116204
194	12549	116167
195	12613	116097
196	12679	116046
197	12758	116118
198	12821	116033
199	12887	115986
200	12945	115865
201	13016	115857
202	13078	115771
203	13144	115721
204	13206	115636
205	13265	115529
206	13323	115401
207	13385	115324
208	13447	115239
209	13510	115161
210	13580	115142
211	13636	115012
212	13694	114895
213	13752	114777
214	13814	114695
215	13871	114570
216	13933	114489
217	14004	114473
218	14064	114374
219	14124	114278
220	14183	114172
221	14258	114193
222	14315	114076
223	14379	114006
224	14447	113974
225	14512	113914
226	14575	113845
227	14640	113786
228	14702	113701
229	14773	113693
230	14836	113614
231	14906	113597
232	14972	113543
233	15030	113438
234	15091	113343
235	15150	113246
236	15215	113184
237	15270	113054
238	15335	112992
239	15396	112909
240	15458	112830
241	15522	112765
242	15582	112670
243	15644	112590
244	15719	112602
245	15777	112495
246	15847	112474
247	15908	112385
248	15969	112299
249	16024	112173
250	16083	112070
251	16146	111996
252	16204	111896
253	16271	111852
254	16328	111739
255	16392	111674
256	16456	111610
257	16517	111525
258	16582	111470
259	16644	111389
260	16707	111319
261	16768	111238
262	16826	111134
263	16890	111066
264	16947	110957
265	17015	110918
266	17073	110820
267	17136	110747
268	17204	110708
269	17267	110639
270	17331	110575
271	17394	110506
272	17455	110426
273	17517	110349
274	17579	110269
275	17638	110176
276	17699	110093
277	17767	110054
278	17827	109969
279	17887	109880
280	17947	109793
281	18009	109718
282	18073	109655
283	18138	109598
284	18206	109556
285	18265	109467
286	18320	109351
287	18385	109294
288	18446	109210
289	18502	109101
290	18565	109033
291	18625	108947
292	18691	108895
293	18752	108817
294	18810	108715
295	18872	108642
296	18937	108585
297	19001	108524
298	19066	108470
299	19130	108405
300	19186	108299
301	19250	108236
302	19319	108202
303	19385	108148
304	19451	108100
305	19510	108009
306	19571	107928
307	19635	107866
308	19696	107788
309	19756	107705
310	19818	107634
311	19884	107578
312	19950	107529
313	20016	107479
314	20081	107419
315	20142	107339
316	20206	107281
317	20266	107193
318	20331	107139
319	20388	107038
320	20445	106942
321	20515	106908
322	20579	106848
323	20642	106781
324	20706	106719
325	20768	106646
326	20825	106549
327	20884	106461
328	20954	106430
329	21013	106340
330	21079	106289
331	21141	106218
332	21210	106181
333	21273	106111
334	21336	106046
335	21392	105944
336	21459	105896
337	21520	105821
338	21588	105778
339	21652	105715
340	21718	105663
341	21790	105638
342	21849	105550
343	21915	105501
344	21979	105436
345	22038	105352
346	22099	105276
347	22164	105215
348	22229	105161
349	22294	105103
350	22354	105023
351	22418	104960
352	22475	104864
353	22536	104789
354	22602	104737
355	22663	104660
356	22735	104633
357	22827	104698
358	22902	104686
359	22958	104589
360	23018	104507
361	23086	104463
362	23150	104402
363	23222	104375
364	23303	104385
365	23396	104451
366	23474	104451
367	23528	104344
368	23585	104248
369	23649	104184
370	23713	104123
371	23777	104059
372	23832	103953
373	23891	103871
374	23946	103767
375	24002	103669
376	24060	103582
377	24127	103531
378	24182	103428
379	24241	103346
380	24298	103254
381	24354	103157
